,Unnamed: 0,GameType,GameID,Date,PlayerID,Player,Position,Team,Opponent,Venue,Starter,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS,Usage,Rest,bonus,PlayerFP,GameFP/36,TeamFP,Status,GP,TOTfp,TOTmin,FPperMIN,expFP,delta,MPG,teamperc,percavg,rollingMin
168,168,NBA 2020-2021 Regular Season,22000013,12/23/2020,201980,Danny Green,G,Philadelphia,Washington,H,1,18.27,1,6,0,4,0,0,0,0,0,2,2,2,1,0,2,15.83,3+,0.0,8.5,16.7,240.25,1.0,32,654.75,916.59,0.71,13.0,-4.5,28.6,0.0353798126951092,,
169,169,NBA 2020-2021 Regular Season,22000013,12/23/2020,202699,Tobias Harris,F,Philadelphia,Washington,H,1,31.13,3,13,0,4,4,4,4,4,8,0,4,0,2,1,10,22.24,3+,0.0,21.0,24.3,240.25,1.0,29,1133.5,1005.62,1.13,35.2,-14.200000000000005,34.7,0.0874089490114464,,
170,170,NBA 2020-2021 Regular Season,22000013,12/23/2020,203954,Joel Embiid,C-F,Philadelphia,Washington,H,1,34.83,10,17,1,1,8,9,2,12,14,2,3,0,3,1,29,28.42,3+,1.5,52.0,53.7,240.25,1.0,26,1397.0,854.7699999999998,1.63,56.8,-4.799999999999997,32.9,0.2164412070759625,,
171,171,NBA 2020-2021 Regular Season,22000013,12/23/2020,203552,Seth Curry,G,Philadelphia,Washington,H,1,32.27,4,8,1,5,4,4,0,0,0,4,4,2,1,0,13,13.77,3+,0.0,23.0,25.7,240.25,1.0,24,526.75,710.5000000000002,0.74,23.9,-0.8999999999999986,29.6,0.0957336108220603,,
172,172,NBA 2020-2021 Regular Season,22000013,12/23/2020,1627732,Ben Simmons,G-F,Philadelphia,Washington,H,1,32.42,7,12,0,0,2,6,1,8,9,7,3,2,4,3,16,23.75,3+,0.0,45.75,50.8,240.25,1.0,27,1131.75,908.62,1.25,40.5,5.25,33.7,0.1904266389177939,,
173,173,NBA 2020-2021 Regular Season,22000013,12/23/2020,1629003,Shake Milton,G-F,Philadelphia,Washington,H,0,29.73,6,11,2,4,5,7,0,1,1,3,3,3,0,0,19,19.56,3+,0.0,31.75,38.4,240.25,0.04,24,527.25,593.7899999999998,0.89,26.5,5.25,24.7,0.1321540062434963,,
174,174,NBA 2020-2021 Regular Season,22000013,12/23/2020,2730,Dwight Howard,C-F,Philadelphia,Washington,H,0,13.17,2,2,0,0,0,0,3,7,10,2,3,0,2,1,4,12.55,3+,0.0,20.5,56.0,240.25,0.12,32,574.5,517.89,1.11,14.6,5.9,16.2,0.0853277835587929,,
175,175,NBA 2020-2021 Regular Season,22000013,12/23/2020,1627788,Furkan Korkmaz,G-F,Philadelphia,Washington,H,0,20.18,4,9,3,6,0,0,0,1,1,0,1,1,2,2,11,22.52,3+,0.0,18.75,33.4,240.25,0.1,21,283.75,393.33,0.72,14.5,4.25,18.7,0.0780437044745057,,
176,176,NBA 2020-2021 Regular Season,22000013,12/23/2020,203118,Mike Scott,F,Philadelphia,Washington,H,0,16.87,1,3,1,3,0,0,0,2,2,0,1,1,0,0,3,7.35,3+,0.0,8.0,17.1,240.25,0.23,13,107.25,213.74,0.5,8.4,-0.4000000000000003,16.4,0.0332986472424557,,
177,177,NBA 2020-2021 Regular Season,22000013,12/23/2020,1630178,Tyrese Maxey,G,Philadelphia,Washington,H,0,10.85,3,6,0,1,0,0,0,2,2,2,0,0,1,0,6,26.65,3+,0.0,11.0,36.5,240.25,0.21,29,428.5,488.9600000000001,0.88,9.5,1.5,16.9,0.0457856399583766,,
178,178,NBA 2020-2021 Regular Season,22000013,12/23/2020,1629680,Matisse Thybulle,G-F,Philadelphia,Washington,H,0,0.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,3+,0.0,0.0,0.0,240.25,0.07,29,326.25,528.35,0.62,0.2,-0.2,18.2,0.0,,
179,179,NBA 2020-2021 Regular Season,22000014,12/23/2020,1627742,Brandon Ingram,F,New Orleans,Toronto,R,1,37.33,10,19,3,6,1,2,0,9,9,11,2,3,3,1,24,26.08,3+,4.5,64.25,62.0,257.75,1.0,30,1230.0,1049.2800000000002,1.17,43.7,20.55,35.0,0.2492725509214355,,
180,180,NBA 2020-2021 Regular Season,22000014,12/23/2020,1629627,Zion Williamson,F,New Orleans,Toronto,R,1,29.57,7,9,0,0,1,4,4,6,10,3,3,1,6,1,15,24.12,3+,1.5,34.5,42.0,257.75,1.0,29,1185.5,950.8300000000002,1.25,37.0,-2.5,32.8,0.1338506304558681,,
181,181,NBA 2020-2021 Regular Season,22000014,12/23/2020,203500,Steven Adams,C,New Orleans,Toronto,R,1,30.62,4,6,0,0,0,0,2,6,8,3,1,4,0,2,8,8.34,3+,0.0,34.5,40.6,257.75,1.0,27,670.75,760.1400000000002,0.88,26.9,7.600000000000001,28.2,0.1338506304558681,,
182,182,NBA 2020-2021 Regular Season,22000014,12/23/2020,1628366,Lonzo Ball,G,New Orleans,Toronto,R,1,28.8,4,9,4,8,4,6,1,4,5,2,3,1,5,2,16,24.59,3+,0.0,30.75,38.4,257.75,1.0,27,848.25,846.62,1.0,28.8,1.9499999999999995,31.4,0.119301648884578,,
183,183,NBA 2020-2021 Regular Season,22000014,12/23/2020,202339,Eric Bledsoe,G,New Orleans,Toronto,R,1,34.45,6,12,4,8,2,4,0,2,2,6,1,1,4,1,18,21.94,3+,0.0,33.5,35.0,257.75,0.97,29,706.5,830.51,0.85,29.3,4.199999999999999,28.6,0.1299709020368574,,
